location,year,month,mean_temp,mean_maxt,mean_mint,total_rain,mean_radn,min_radn,max_radn,mean_rh
fayetteville_sarec,2024,2,3.75,10.41,-2.91,2.6,17.21,17.21,17.21,64.01
fayetteville_sarec,2024,3,11.588064516129032,17.920967741935485,5.25516129032258,94.03,16.15741935483871,5.61,24.37,77.65806451612903
fayetteville_sarec,2024,4,15.6235,21.668,9.579,134.63,19.800666666666668,4.08,28.22,73.397
fayetteville_sarec,2024,5,21.03983870967742,26.17322580645161,15.906451612903226,144.04,19.990322580645163,5.81,29.1,81.80419354838709
fayetteville_sarec,2024,6,26.1205,32.251,19.99,48.68,25.157666666666668,4.27,30.57,69.31766666666667
fayetteville_sarec,2024,7,27.270967741935483,33.50451612903226,21.03741935483871,97.59,22.87548387096774,9.89,29.8,65.59387096774194
fayetteville_sarec,2024,8,27.301935483870967,34.06903225806452,20.53483870967742,115.26,21.26225806451613,9.43,27.46,61.74548387096774
fayetteville_sarec,2024,9,23.34583333333333,30.502666666666666,16.189,19.98,17.932,5.17,24.89,61.826
fayetteville_sarec,2024,10,20.49451612903226,28.56774193548387,12.421290322580646,36.9,16.76451612903226,8.56,20.41,44.69258064516129
fayetteville_sarec,2024,11,17.39,22.006,12.774000000000001,166.75,7.85,3.16,15.05,82.446
fayetteville_sarec,2025,3,11.400806451612903,18.204838709677418,4.596774193548387,48.05,16.776129032258066,6.36,23.62,70.93290322580646
fayetteville_sarec,2025,4,15.500833333333333,21.154333333333334,9.847333333333333,272.47,16.974666666666668,1.96,27.77,79.83133333333333
fayetteville_sarec,2025,5,18.475322580645162,23.626774193548385,13.323870967741936,199.42,20.052903225806453,5.8,29.6,81.65161290322581
fayetteville_sarec,2025,6,24.255333333333333,28.62,19.890666666666668,171.7,22.401333333333334,7.79,30.27,83.62766666666667
fayetteville_sarec,2025,7,26.714354838709678,31.716451612903224,21.712258064516128,91.44,24.543548387096774,15.11,29.19,75.61774193548388
fayetteville_sarec,2025,8,26.941774193548387,33.65032258064516,20.233225806451614,99.31,20.741612903225807,5.41,27.19,62.28258064516129
fayetteville_sarec,2025,9,23.2455,29.397666666666666,17.093333333333334,130.2,17.352666666666668,4.99,23.8,68.15466666666667
fayetteville_sarec,2025,10,21.8225,28.09166666666667,15.553333333333333,0.96,18.59,16.55,19.69,73.665
